縣市,鄉鎮市區,村里,103年第三季宅數
金門縣,金城鎮,東門里,0
金門縣,金城鎮,古城里,4
金門縣,金城鎮,金水里,0
金門縣,金城鎮,珠沙里,10
金門縣,金城鎮,賢庵里,1
金門縣,金沙鎮,汶沙里,0
金門縣,金沙鎮,三山里,0
金門縣,金沙鎮,大洋里,0
金門縣,金沙鎮,光前里,0
金門縣,金沙鎮,何斗里,0
金門縣,金沙鎮,西園里,0
金門縣,金沙鎮,官嶼里,0
金門縣,金沙鎮,浦山里,0
金門縣,金湖鎮,新市里,0
金門縣,金湖鎮,山外里,5
金門縣,金湖鎮,正義里,0
金門縣,金湖鎮,料羅里,0
金門縣,金湖鎮,瓊林里,0
金門縣,金湖鎮,新湖里,20
金門縣,金湖鎮,溪湖里,0
金門縣,金湖鎮,蓮庵里,1
金門縣,金寧鄉,古寧村,0
金門縣,金寧鄉,安美村,0
金門縣,金寧鄉,后盤村,0
金門縣,金寧鄉,湖埔村,27
金門縣,金寧鄉,榜林村,33
金門縣,金寧鄉,盤山村,26
金門縣,烈嶼鄉,上岐村,0
金門縣,烈嶼鄉,上林村,0
金門縣,烈嶼鄉,西口村,0
金門縣,烈嶼鄉,林湖村,2
金門縣,烈嶼鄉,黃埔村,0
金門縣,烏坵鄉,大坵村,0
金門縣,烏坵鄉,小坵村,0
